experiment_id,geometry,mode,k_min,k_max,n_cells,CP,MPIW,CP_Ankara,CP_Antalya,CP_Konya,CP_Rize,CP_Van,worst_step_dev,CP_AprMay,max_city_deviation,reliability
abl_rize_plus_ankara_s42_b1,production_like,global,1.4046826362609863,1.4046826362609863,1,0.9440379549900645,451.8689270019531,0.9629269046515222,,,0.9252702370716128,,0.03754183711416892,0.9350345227173965,0.024729762928387133,0.005962045009935468
abl_rize_plus_ankara_s42_b1,production_like,per_horizon,1.1599012613296509,1.5833635330200195,24,0.9453010674840956,451.2632751464844,0.9636223149435945,,,0.9270974081808132,,0.013515509601181641,0.9369900053111873,0.022902591819186746,0.004698932515904364
abl_rize_plus_ankara_s42_b1,production_like,per_city,1.3180279731750488,1.5008701086044312,2,0.9451085198478103,450.9101257324219,0.9464379539483851,,,0.9437876182287188,,0.03742559523809519,0.9363140360195066,0.006212381771281139,0.004891480152189653
abl_rize_plus_ankara_s42_b1,production_like,city_horizon,1.131611943244934,1.8026924133300781,48,0.9460096427856252,450.22320556640625,0.9467315716272601,,,0.945292347377472,,0.010007385524372192,0.9384867944570519,0.004707652622527925,0.003990357214374796
abl_rize_plus_ankara_s42_b1,production_like,per_season,1.0303244590759277,1.591881513595581,4,0.9523868204993915,442.6024475097656,0.976649667748416,,,0.9282796953691193,,0.0364261807363333,0.9624112790304669,0.02664966774841604,0.00238682049939154
abl_rize_plus_ankara_s42_b1,production_like,city_season,0.7452898025512695,1.6720131635665894,8,0.9529644634082473,432.29290771484375,0.9555091948694174,,,0.950436064365557,,0.03363703979174415,0.9595142677804065,0.0055091948694174775,0.0029644634082472976
abl_rize_plus_ankara_s42_b1,production_like,season_horizon,0.8976250290870667,1.814944863319397,96,0.9543122968622437,445.5729064941406,0.9779786740843764,,,0.9307978135364205,,0.009925788497217147,0.9657911254888707,0.027978674084376487,0.00431229686224377
abl_rize_plus_ankara_s42_b1,production_like,city_season_horizon,0.6565813422203064,2.0579609870910645,192,0.9539272015896733,431.31536865234375,0.9554473806212332,,,0.9524167792654465,,0.009554730983302506,0.9590314325720631,0.005447380621233289,0.0039272015896733015
abl_rize_plus_ankara_s42_smoke,exchangeable,none,1.0,1.0,0,0.6697452200206455,242.191650390625,0.7222069420760218,,,0.617658838521755,,0.33270246478873233,0.633509096955014,0.332341161478245,0.28025477997935444
abl_rize_plus_ankara_s42_smoke,exchangeable,global,2.189347743988037,2.189347743988037,1,0.947710268848146,530.2417602539062,0.9631442873645415,,,0.9323866739486619,,0.029757975797579772,0.9374376514179849,0.01761332605133803,0.0022897311518539354
abl_rize_plus_ankara_s42_smoke,exchangeable,per_horizon,1.7059379816055298,2.5332164764404297,24,0.9477650798870892,529.5255126953125,0.9627592276802904,,,0.9328782086291644,,0.009185918591859132,0.9379601919148735,0.017121791370835582,0.00223492011291071
abl_rize_plus_ankara_s42_smoke,exchangeable,per_city,1.9990615844726562,2.369720935821533,2,0.9475458357313162,525.01025390625,0.9479252617489045,,,0.9471691243400692,,0.029757975797579772,0.9354424967935014,0.002830875659930787,0.002454164268683723
abl_rize_plus_ankara_s42_smoke,exchangeable,city_horizon,1.6649043560028076,2.7318191528320312,48,0.947134752939242,523.5377807617188,0.9480719511524286,,,0.946204259967231,,0.010066006600660038,0.9362975630611372,0.003795740032768946,0.0028652470607579694
abl_rize_plus_ankara_s42_smoke,exchangeable,per_season,1.5860251188278198,2.421365737915039,4,0.9475915115971023,497.9414367675781,0.9685167867686159,,,0.926815947569634,,0.02755775577557762,0.954586480452235,0.02318405243036592,0.002408488402897646
