city,season,HR,n,mean,median,q25,q75
Antalya,Yaz,10,615,866.5940487804877,879.0,833.99,911.69
Antalya,Yaz,11,615,913.0818861788617,925.28,878.99,963.5999999999999
Antalya,Yaz,12,615,903.7713983739837,915.85,865.11,962.185
Antalya,Yaz,13,615,835.8157235772358,856.25,799.0999999999999,900.49
Antalya,Yaz,14,615,724.322,743.5,684.16,785.965
Antalya,Yaz,15,615,569.8626991869919,585.7,531.14,626.6600000000001
Antalya,Yaz,16,615,386.1052682926829,399.1,341.15999999999997,436.95
Antalya,Yaz,17,615,199.13357723577235,208.77,158.81,239.475
Antalya,Yaz,18,615,50.15105691056911,54.97,27.384999999999998,71.135
Antalya,Yaz,19,615,0.0,0.0,0.0,0.0
Antalya,Yaz,20,615,0.0,0.0,0.0,0.0
Antalya,Yaz,21,615,0.0,0.0,0.0,0.0
Antalya,Yaz,22,615,0.0,0.0,0.0,0.0
Antalya,Yaz,23,615,0.0,0.0,0.0,0.0
Antalya,Sonbahar,0,637,0.0,0.0,0.0,0.0
Antalya,Sonbahar,1,637,0.0,0.0,0.0,0.0
Antalya,Sonbahar,2,637,0.0,0.0,0.0,0.0
Antalya,Sonbahar,3,637,0.0,0.0,0.0,0.0
Antalya,Sonbahar,4,637,0.0,0.0,0.0,0.0
Antalya,Sonbahar,5,637,0.5518524332810048,0.0,0.0,0.0
Antalya,Sonbahar,6,637,41.14160125588697,28.83,6.62,72.25
Antalya,Sonbahar,7,637,177.88750392464678,176.18,99.6,256.0
Antalya,Sonbahar,8,637,344.74875981161694,357.58,254.15,444.83
Antalya,Sonbahar,9,637,489.7405023547881,505.73,394.52,607.38
Antalya,Sonbahar,10,637,594.4529199372057,613.83,498.52,725.45
Antalya,Sonbahar,11,637,634.1564678178963,649.33,538.5,772.65
Antalya,Sonbahar,12,637,617.2283516483517,631.58,519.55,748.58
Antalya,Sonbahar,13,637,532.1623076923078,541.67,428.55,655.85
Antalya,Sonbahar,14,637,402.4889638932496,399.3,302.42,512.05
Antalya,Sonbahar,15,637,256.343704866562,236.82,153.18,360.6
Antalya,Sonbahar,16,637,104.91645211930926,78.22,26.83,177.57
Antalya,Sonbahar,17,637,18.271412872841445,0.0,0.0,27.55
Antalya,Sonbahar,18,637,0.11200941915227629,0.0,0.0,0.0
Antalya,Sonbahar,19,637,0.0,0.0,0.0,0.0
Antalya,Sonbahar,20,637,0.0,0.0,0.0,0.0
Antalya,Sonbahar,21,637,0.0,0.0,0.0,0.0
Antalya,Sonbahar,22,637,0.0,0.0,0.0,0.0
Antalya,Sonbahar,23,637,0.0,0.0,0.0,0.0
Konya,Kış,0,632,0.0,0.0,0.0,0.0
Konya,Kış,1,632,0.0,0.0,0.0,0.0
Konya,Kış,2,632,0.0,0.0,0.0,0.0
Konya,Kış,3,632,0.0,0.0,0.0,0.0
Konya,Kış,4,632,0.0,0.0,0.0,0.0
Konya,Kış,5,632,0.0,0.0,0.0,0.0
