city,resolution,lag,acf,pacf
Antalya,günlük,6,0.2874316555326858,0.08779005014860401
Antalya,günlük,7,0.2906304323294856,0.08096498072404996
Antalya,günlük,8,0.28588681621098394,0.06537593420181131
Antalya,günlük,9,0.28440981726996195,0.06372433664289921
Antalya,günlük,10,0.28462992417233773,0.06074933824988726
Antalya,günlük,11,0.27252246967896465,0.03953995158267599
Antalya,günlük,12,0.25123395198001247,0.01876802835655668
Antalya,günlük,13,0.2777260230015866,0.07852243007733758
Antalya,günlük,14,0.278068822712231,0.043439416645232536
Antalya,günlük,15,0.2885231932932389,0.06458841302152483
Antalya,günlük,16,0.2853690692281665,0.04017440197729005
Antalya,günlük,17,0.2559046653483278,0.0017307732386512848
Antalya,günlük,18,0.24217236759625344,0.012360592740170553
Antalya,günlük,19,0.23006447823615084,0.003918113568271748
Antalya,günlük,20,0.2374847102126086,0.029310836425329178
Antalya,günlük,21,0.265204733035181,0.0602915670760783
Antalya,günlük,22,0.277568164309631,0.04868223881207491
Antalya,günlük,23,0.2609234220839226,0.011653698359437551
Antalya,günlük,24,0.2529178343178237,0.01742995997684956
Antalya,günlük,25,0.24653793185731832,0.016226075202918952
Antalya,günlük,26,0.25308611726518876,0.033232155835522977
Antalya,günlük,27,0.25648014771399225,0.031048756950182582
Antalya,günlük,28,0.2647188083559717,0.03761816755559172
Antalya,günlük,29,0.2635047646353492,0.022524839141587028
Antalya,günlük,30,0.25042968665570964,0.0065446435319496885
Konya,saatlik,1,0.9623237079256035,0.9623237079256035
Konya,saatlik,2,0.9245854167106835,-0.020038419901722872
Konya,saatlik,3,0.8818406770941802,-0.08735101267238392
Konya,saatlik,4,0.8378670459715006,-0.03956040143277394
Konya,saatlik,5,0.7929786301044368,-0.03218745754435988
Konya,saatlik,6,0.7525833813420977,0.03840198272541946
Konya,saatlik,7,0.7158046211439252,0.02836584701526324
Konya,saatlik,8,0.6733116441061923,-0.1071987437081941
Konya,saatlik,9,0.6212740221320215,-0.16712130832723418
Konya,saatlik,10,0.5697159824036079,-0.020958455913345463
Konya,saatlik,11,0.4903331814574989,-0.4040644446766173
Konya,saatlik,12,0.3879528164691774,-0.4613169340270505
Konya,saatlik,13,0.44410479731044167,
Konya,saatlik,14,0.4950697942919065,
Konya,saatlik,15,0.5181945497395897,
Konya,saatlik,16,0.5296529342521716,
Konya,saatlik,17,0.5350233248435837,
Konya,saatlik,18,0.5353923397638727,
